Date,Timestamp,Open,High,Low,Close,Volume
20230402,00:00:00,28433.1,28503.4,27843.4,28149.1,0.105613603220903
20230403,00:00:00,28149.1,28469,27190.2,27768,0.579852381038634
20230404,00:00:00,27767.9,28402.1,27633.2,28135.8,0.803472585154029
20230405,00:00:00,28134.2,28748.1,27776.1,28143.2,1.07782807914808
20230406,00:00:00,28142.5,28157.1,27684.7,28007.6,0.283229682168425
20230407,00:00:00,28007.4,28076.3,27752.9,27866.8,1.12319231620972
20230408,00:00:00,27866,28110.7,27817.2,27921,0.842004029782402
20230409,00:00:00,27920.7,28503.5,27786,28298.1,1.33777103607099
20230410,00:00:00,28297.9,29751.9,28138.9,29619.8,1.97763118582304
20230411,00:00:00,29619.8,30523.9,29578.1,30204.8,1.74332397162549
20230412,00:00:00,30204.8,30467.1,29645.8,29872.2,0.665351136333284
20230413,00:00:00,29873.7,30569.3,29843.1,30372.7,1.2781871952164
20230414,00:00:00,30372.7,30995.1,29970.4,30427.8,3.1873480456464
20230415,00:00:00,30427.3,30559.9,30173.5,30289.8,0.094396543254426
20230416,00:00:00,30289.8,30527.8,30116.3,30293.3,0.0777936022776089
20230417,00:00:00,30293.3,30301.1,29226.7,29411.6,0.679235415008812
20230418,00:00:00,29411.7,30452.4,29089.2,30358.6,0.663554489993608
20230419,00:00:00,30358.6,30385.7,28569.1,28785.3,0.659254262850252
20230420,00:00:00,28785.3,29061.5,27968.3,28206.5,1.08071328956773
20230421,00:00:00,28205.8,28328.4,27089.5,27191.8,1.18849592821001
20230422,00:00:00,27191.8,27846.8,27074.5,27783.3,0.0735891024946795
20230423,00:00:00,27783.3,27783.3,27317,27557,0.112847003505181
20230424,00:00:00,27557,27956.6,26950,27478.5,0.545841330262022
20230425,00:00:00,27477.4,28352.6,27159,28265.5,1.32745502594162
20230426,00:00:00,28265.1,29978.7,27212.8,28388.9,1.92326395030005
20230427,00:00:00,28389.9,29849,28353.4,29444.8,1.15433783213218
20230428,00:00:00,29444.8,29565.7,28877.6,29273.5,1.27960228766535
20230429,00:00:00,29274.3,29405.5,29023.5,29208.9,1.13854303642393
20230430,00:00:00,29208.9,29924.2,29068.3,29205.7,0.990752293061483
20230501,00:00:00,29206,29306.8,27635.6,28042.8,0.597618008781239
20230502,00:00:00,28042.8,28858.5,27849.7,28643.2,0.394861630260069
20230503,00:00:00,28643.4,29234,28098.6,28999.1,1.36450833295331
20230504,00:00:00,28999.1,29336.5,28653.2,28817.7,0.851864177138836
20230505,00:00:00,28818.3,29658.4,28798.6,29473.7,0.964647021217203
20230506,00:00:00,29474.9,29784.9,28667.2,28865.7,0.57715202041436
20230507,00:00:00,28865.7,29148.3,28401.6,28435.2,1.55451159294608
20230508,00:00:00,28436.1,28628.8,27255.2,27656.8,0.81369951595779
20230509,00:00:00,27656.8,27792.2,27338.4,27611.2,0.125163001160558
20230510,00:00:00,27612.1,28289.6,26787.2,27583,0.423001398912959
20230511,00:00:00,27584.3,27607.1,26691.7,26949.2,0.328911502013575
20230512,00:00:00,26949.2,27065.7,25793.6,26748.5,0.840613216605902
20230513,00:00:00,26748.5,26996.7,26641.8,26729.3,0.0363360008011568
20230514,00:00:00,26729.3,27156,26548.2,26892.3,0.0975440007372299
20230515,00:00:00,26894.2,27634,26715.9,27131.1,0.843205347754001
20230516,00:00:00,27131.2,27264.4,26829.1,27000.5,1.11212207017055
20230517,00:00:00,27000.4,27469.4,26525.5,27372.1,1.3799671351645
20230518,00:00:00,27373.2,27448.8,26329.8,26789.5,1.11380990409591
20230519,00:00:00,26789.5,27147.2,26604.2,26830,0.0950690028271879
20230520,00:00:00,26830,27115.9,26777.9,27073.7,0.492765567408007
20230521,00:00:00,27073.8,27240.5,26634.2,26718.7,1.22906704280854
20230522,00:00:00,26718.7,27064.9,26507.3,26818.5,0.106457002649904
20230523,00:00:00,26818.5,27455,26773.5,27189.7,0.201972005315156
20230524,00:00:00,27189.7,27189.7,26048.1,26294.7,0.437658013366104
20230525,00:00:00,26294.7,26586.3,25836.6,26444.1,0.15438500449477
20230526,00:00:00,26445.2,26906.2,26304.2,26653.9,0.0933650016886531
20230527,00:00:00,26653.9,26861,26535.2,26829.6,0.0354880010621628
20230528,00:00:00,26829.6,28221,26747.9,28052.1,0.133472002390022
20230529,00:00:00,28052.2,28419.8,27505.7,27710.6,0.133200002470744
20230530,00:00:00,27710.6,28016.8,27528.8,27664.9,0.174811003236528
20230531,00:00:00,27664.9,27807.2,26817.3,27186.2,0.246653003015695
20230601,00:00:00,27186.8,27315.6,26584,26792.1,0.648678812369099
20230602,00:00:00,26792.1,27260.5,26478.9,27187.2,0.393005811449825
20230603,00:00:00,27187.5,27297,26901.6,27044.6,0.492705617417542
20230604,00:00:00,27044.6,27422.9,26930.8,27092.6,0.0966618028420783
20230605,00:00:00,27092.6,27097.7,25365.9,25699.3,1.18480483146232
20230606,00:00:00,25699.4,27331,25326.7,27204,2.06571756345465
20230607,00:00:00,27203.9,27356.1,26094.6,26316.2,2.1381740668362
20230608,00:00:00,26315.7,26787.5,26186.7,26467.9,1.63931305626102
20230609,00:00:00,26467.9,26749.9,26251.9,26417.7,1.54958605319644
20230610,00:00:00,26417.6,26469.9,25365.7,25818,0.64412815457753
